text,tags
Moana 1950 2160p EVO,"B-TITLE,B-YEAR,B-QUALITY,O"
Barbie 1984 1440p BDRemux H 265,"B-TITLE,B-YEAR,B-QUALITY,I-QUALITY,I-QUALITY,I-QUALITY"
Up 1967 2160p BDRemux AVC EVO,"B-TITLE,B-YEAR,B-QUALITY,I-QUALITY,I-QUALITY,O"
The Boys S04E01 4K HDTV H 265,"B-TITLE,I-TITLE,O,B-QUALITY,I-QUALITY,I-QUALITY,I-QUALITY"
Tenet 1955 1080p DV,"B-TITLE,B-YEAR,B-QUALITY,I-QUALITY"
DDT Eto Ne Lyubov 320kbps,"B-ARTIST,B-TITLE,I-TITLE,I-TITLE,B-QUALITY"
Викинг 2004,"B-TITLE,B-YEAR"
John Wick Chapter 3 1983 4K BRRip x265 DTS ION10,"B-TITLE,I-TITLE,I-TITLE,I-TITLE,B-YEAR,B-QUALITY,I-QUALITY,I-QUALITY,I-QUALITY,O"
Eminem Smooth Criminal 256kbps,"B-ARTIST,B-TITLE,I-TITLE,B-QUALITY"
Queen Thunderstruck,"B-ARTIST,B-TITLE"
Bob Dylan Someone Like You ALAC,"B-ARTIST,I-ARTIST,B-TITLE,I-TITLE,I-TITLE,B-QUALITY"
Zemfira Nam s Toboy M4A,"B-ARTIST,B-TITLE,I-TITLE,I-TITLE,B-QUALITY"
Сибирский цирюльник 1080p HDRip XviD DDP5 1,"B-TITLE,I-TITLE,B-QUALITY,I-QUALITY,I-QUALITY,I-QUALITY,I-QUALITY"
Back to the Future 2001,"B-TITLE,I-TITLE,I-TITLE,I-TITLE,B-YEAR"
Легенда 17 2013 8K BDRemux AV1,"B-TITLE,I-TITLE,B-YEAR,B-QUALITY,I-QUALITY,I-QUALITY"
Holop 1971 1440p 10bit DVDR H 264,"B-TITLE,B-YEAR,B-QUALITY,I-QUALITY,I-QUALITY,I-QUALITY,I-QUALITY"
Metro 2018 2160p HDR AMZN,"B-TITLE,B-YEAR,B-QUALITY,I-QUALITY,O"
Iron Man 4K HDTV AVC,"B-TITLE,I-TITLE,B-QUALITY,I-QUALITY,I-QUALITY"
Blade Runner 2049 1986 IMAX HDTV x265 MEZG,"B-TITLE,I-TITLE,I-TITLE,B-YEAR,B-QUALITY,I-QUALITY,I-QUALITY,O"
Rammstein Another Brick in the Wall ALAC,"B-ARTIST,B-TITLE,I-TITLE,I-TITLE,I-TITLE,I-TITLE,B-QUALITY"
Fiziruk S03E18 1977 2160p HDR H 264,"B-TITLE,O,B-YEAR,B-QUALITY,I-QUALITY,I-QUALITY,I-QUALITY"
Peaky Blinders S03E19 2004 480p BRRip DD,"B-TITLE,I-TITLE,O,B-YEAR,B-QUALITY,I-QUALITY,I-QUALITY"
Bruno Mars Wonderwall ALAC,"B-ARTIST,I-ARTIST,B-TITLE,B-QUALITY"
2018,B-YEAR
Yolki 2020 480p BDRip EAC3,"B-TITLE,B-YEAR,B-QUALITY,I-QUALITY,I-QUALITY"
Mad Max Fury Road 2020 2160p HDR10 BDRip HEVC,"B-TITLE,I-TITLE,I-TITLE,I-TITLE,B-YEAR,B-QUALITY,I-QUALITY,I-QUALITY,I-QUALITY"
Dua Lipa Master of Puppets ALAC,"B-ARTIST,I-ARTIST,B-TITLE,I-TITLE,I-TITLE,B-QUALITY"
Fight Club 1997 480p IMAX HDTV x264 AVS,"B-TITLE,I-TITLE,B-YEAR,B-QUALITY,I-QUALITY,I-QUALITY,I-QUALITY,O"
The Lion King 1988 2160p UHD YTS,"B-TITLE,I-TITLE,I-TITLE,B-YEAR,B-QUALITY,I-QUALITY,O"
Annihilation 2006,"B-TITLE,B-YEAR"
Return of the Jedi 1952,"B-TITLE,I-TITLE,I-TITLE,I-TITLE,B-YEAR"
The Empire Strikes Back 1952 1080p HDR10 CHD,"B-TITLE,I-TITLE,I-TITLE,I-TITLE,B-YEAR,B-QUALITY,I-QUALITY,O"
The Mandalorian S07E12 2160p REMUX XviD,"B-TITLE,I-TITLE,O,B-QUALITY,I-QUALITY,I-QUALITY"
Game of Thrones S02E07 720p Dolby Vision HDRip DD5 1,"B-TITLE,I-TITLE,I-TITLE,O,B-QUALITY,I-QUALITY,I-QUALITY,I-QUALITY,I-QUALITY,I-QUALITY"
v1 VIDEO,"O,O"
John Wick 2011 4K AV1 GalaxyRG,"B-TITLE,I-TITLE,B-YEAR,B-QUALITY,I-QUALITY,O"
Ёлки 2009,"B-TITLE,B-YEAR"
Григорий Лепс Группа Крови M4A,"B-ARTIST,I-ARTIST,B-TITLE,I-TITLE,B-QUALITY"
Seinfeld S02E07 8K UHD H 265,"B-TITLE,O,B-QUALITY,I-QUALITY,I-QUALITY,I-QUALITY"
